[09-Jun-2019 19:34:06 UTC] PHP Notice:  Undefined index: nome_cliente in /var/www/html/app/loginadm.app.php on line 15
[09-Jun-2019 19:53:32 UTC] PHP Notice:  Undefined index: nome_cliente in /var/www/html/app/loginadm.app.php on line 15
[09-Jun-2019 20:24:29 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/view/Cliente/acompanharpedido.view.php on line 5
[09-Jun-2019 20:24:37 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/view/Cliente/altcliente.view.php on line 5
[09-Jun-2019 20:24:37 UTC] PHP Notice:  Undefined index: administrador in /var/www/html/view/Cliente/altcliente.view.php on line 10
[09-Jun-2019 20:24:40 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/view/Cliente/listapedidosfeitos.php on line 7
[09-Jun-2019 20:24:40 UTC] PHP Notice:  Undefined index: chave in /var/www/html/view/Cliente/listapedidosfeitos.php on line 12
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant justification - assumed 'justification' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 30
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant spacing - assumed 'spacing' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 30
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant justification - assumed 'justification' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 54
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant spacing - assumed 'spacing' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 54
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant justification - assumed 'justification' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 55
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant spacing - assumed 'spacing' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 55
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant justification - assumed 'justification' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 58
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant spacing - assumed 'spacing' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 58
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant justification - assumed 'justification' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 59
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant spacing - assumed 'spacing' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 59
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant justification - assumed 'justification' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 62
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant spacing - assumed 'spacing' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 62
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant justification - assumed 'justification' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 63
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant spacing - assumed 'spacing' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 63
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant justification - assumed 'justification' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 54
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant spacing - assumed 'spacing' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 54
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant justification - assumed 'justification' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 55
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant spacing - assumed 'spacing' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 55
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant justification - assumed 'justification' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 58
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant spacing - assumed 'spacing' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 58
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant justification - assumed 'justification' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 59
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant spacing - assumed 'spacing' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 59
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant justification - assumed 'justification' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 62
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant spacing - assumed 'spacing' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 62
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant justification - assumed 'justification' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 63
[09-Jun-2019 20:24:40 UTC] PHP Warning:  Use of undefined constant spacing - assumed 'spacing' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 63
[09-Jun-2019 20:26:36 UTC] PHP Notice:  Undefined index: nome_cliente in /var/www/html/app/loginadm.app.php on line 15
[09-Jun-2019 20:41:29 UTC] PHP Notice:  Undefined index: beta in /var/www/html/view/Admin/analiseequipe.view.php on line 103
[09-Jun-2019 20:54:38 UTC] PHP Notice:  Undefined variable: nomee in /var/www/html/app/aprovarequipe.app.php on line 24
[09-Jun-2019 20:54:38 UTC] PHP Notice:  Undefined variable: cnpje in /var/www/html/app/aprovarequipe.app.php on line 24
[09-Jun-2019 20:54:38 UTC] PHP Notice:  Undefined variable: integrantese in /var/www/html/app/aprovarequipe.app.php on line 24
[09-Jun-2019 20:54:38 UTC] PHP Notice:  Undefined variable: enderecoe in /var/www/html/app/aprovarequipe.app.php on line 24
[09-Jun-2019 20:54:38 UTC] PHP Notice:  Undefined variable: telefonee in /var/www/html/app/aprovarequipe.app.php on line 24
[09-Jun-2019 20:54:38 UTC] PHP Notice:  Undefined variable: emaile in /var/www/html/app/aprovarequipe.app.php on line 24
[09-Jun-2019 20:54:38 UTC] PHP Notice:  Undefined variable: senhae in /var/www/html/app/aprovarequipe.app.php on line 24
[09-Jun-2019 20:54:38 UTC] PHP Notice:  Undefined variable: uide in /var/www/html/app/aprovarequipe.app.php on line 24
[09-Jun-2019 20:54:38 UTC] PHP Notice:  Undefined variable: data_cadastro in /var/www/html/app/aprovarequipe.app.php on line 24
[09-Jun-2019 20:54:38 UTC] PHP Notice:  Undefined variable: uide in /var/www/html/app/aprovarequipe.app.php on line 49
[09-Jun-2019 20:58:40 UTC] PHP Notice:  Undefined index: nome_cliente in /var/www/html/app/loginadm.app.php on line 15
[09-Jun-2019 20:58:56 UTC] PHP Notice:  Undefined index: beta in /var/www/html/view/Admin/analiseequipe.view.php on line 103
