[25-Jun-2019 00:59:37 UTC] PHP Notice:  Undefined index: nome_cliente in /var/www/html/app/loginadm.app.php on line 15
[25-Jun-2019 01:03:29 UTC] PHP Notice:  Undefined index: nome_cliente in /var/www/html/app/loginadm.app.php on line 15
[25-Jun-2019 01:03:33 UTC] PHP Notice:  Undefined index: beta in /var/www/html/view/Admin/analiseequipe.view.php on line 103
[25-Jun-2019 01:03:33 UTC] PHP Notice:  Undefined index: beta in /var/www/html/view/Admin/analiseequipe.view.php on line 103
[25-Jun-2019 01:03:36 UTC] PHP Fatal error:  Uncaught Error: Call to a member function fetch_assoc() on boolean in /var/www/html/app/aprovarequipe.app.php:33
Stack trace:
#0 {main}
  thrown in /var/www/html/app/aprovarequipe.app.php on line 33
[25-Jun-2019 01:05:58 UTC] PHP Notice:  Undefined index: beta in /var/www/html/view/Admin/analiseequipe.view.php on line 103
[25-Jun-2019 01:05:58 UTC] PHP Notice:  Undefined index: beta in /var/www/html/view/Admin/analiseequipe.view.php on line 103
[25-Jun-2019 01:09:04 UTC] PHP Notice:  Undefined index: nome_cliente in /var/www/html/app/loginadm.app.php on line 15
[25-Jun-2019 01:09:12 UTC] PHP Notice:  Undefined index: beta in /var/www/html/view/Admin/analiseequipe.view.php on line 103
[25-Jun-2019 01:09:12 UTC] PHP Notice:  Undefined index: beta in /var/www/html/view/Admin/analiseequipe.view.php on line 103
[25-Jun-2019 13:43:32 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/app/registropedido.app.php on line 4
[25-Jun-2019 13:43:32 UTC] PHP Notice:  Undefined variable: cidade in /var/www/html/app/registropedido.app.php on line 21
[25-Jun-2019 13:46:13 UTC] PHP Notice:  Undefined index: nomee in /var/www/html/view/Cadastro/cadintegrantes.view.php on line 9
[25-Jun-2019 13:46:13 UTC] PHP Notice:  Undefined index: cnpje in /var/www/html/view/Cadastro/cadintegrantes.view.php on line 10
[25-Jun-2019 13:46:13 UTC] PHP Notice:  Undefined index: integrantese in /var/www/html/view/Cadastro/cadintegrantes.view.php on line 12
[25-Jun-2019 13:46:13 UTC] PHP Notice:  Undefined index: cidadee in /var/www/html/view/Cadastro/cadintegrantes.view.php on line 14
[25-Jun-2019 13:46:13 UTC] PHP Notice:  Undefined index: estadoe in /var/www/html/view/Cadastro/cadintegrantes.view.php on line 14
[25-Jun-2019 13:46:13 UTC] PHP Notice:  Undefined index: enderecoe in /var/www/html/view/Cadastro/cadintegrantes.view.php on line 14
[25-Jun-2019 13:46:13 UTC] PHP Notice:  Undefined index: numeroe in /var/www/html/view/Cadastro/cadintegrantes.view.php on line 14
[25-Jun-2019 13:46:13 UTC] PHP Notice:  Undefined index: telefonee in /var/www/html/view/Cadastro/cadintegrantes.view.php on line 15
[25-Jun-2019 13:46:13 UTC] PHP Notice:  Undefined index: emaile in /var/www/html/view/Cadastro/cadintegrantes.view.php on line 16
[25-Jun-2019 13:46:13 UTC] PHP Notice:  Undefined index: senhae in /var/www/html/view/Cadastro/cadintegrantes.view.php on line 17
[25-Jun-2019 13:46:13 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/app/registropedido.app.php on line 4
[25-Jun-2019 13:46:13 UTC] PHP Notice:  Undefined variable: cidade in /var/www/html/app/registropedido.app.php on line 21
[25-Jun-2019 13:47:15 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/app/registropedido.app.php on line 4
[25-Jun-2019 13:47:15 UTC] PHP Notice:  Undefined variable: cidade in /var/www/html/app/registropedido.app.php on line 21
[25-Jun-2019 13:48:47 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/app/registropedido.app.php on line 4
[25-Jun-2019 13:48:47 UTC] PHP Notice:  Undefined variable: cidade in /var/www/html/app/registropedido.app.php on line 21
[25-Jun-2019 13:49:33 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/app/registropedido.app.php on line 4
[25-Jun-2019 13:49:33 UTC] PHP Notice:  Undefined variable: cidade in /var/www/html/app/registropedido.app.php on line 21
[25-Jun-2019 13:50:14 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/app/registropedido.app.php on line 4
[25-Jun-2019 13:50:14 UTC] PHP Notice:  Undefined variable: cidade in /var/www/html/app/registropedido.app.php on line 21
[25-Jun-2019 13:50:16 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/view/Cliente/acompanharpedido.view.php on line 5
[25-Jun-2019 13:51:52 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/view/Cliente/acompanharpedido.view.php on line 5
[25-Jun-2019 13:55:25 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/app/registropedido.app.php on line 4
[25-Jun-2019 13:55:25 UTC] PHP Notice:  Undefined variable: cidade in /var/www/html/app/registropedido.app.php on line 21
[25-Jun-2019 13:55:37 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/app/registropedido.app.php on line 4
[25-Jun-2019 13:55:37 UTC] PHP Notice:  Undefined variable: cidade in /var/www/html/app/registropedido.app.php on line 21
[25-Jun-2019 13:55:42 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/view/Cliente/acompanharpedido.view.php on line 5
[25-Jun-2019 13:56:33 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/view/Cliente/altcliente.view.php on line 5
[25-Jun-2019 13:56:33 UTC] PHP Notice:  Undefined index: administrador in /var/www/html/view/Cliente/altcliente.view.php on line 10
[25-Jun-2019 13:56:35 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/view/Cliente/altcliente.view.php on line 5
[25-Jun-2019 13:56:35 UTC] PHP Notice:  Undefined index: administrador in /var/www/html/view/Cliente/altcliente.view.php on line 10
[25-Jun-2019 13:56:52 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/view/Cliente/altcliente.view.php on line 5
[25-Jun-2019 13:56:52 UTC] PHP Notice:  Undefined index: administrador in /var/www/html/view/Cliente/altcliente.view.php on line 10
[25-Jun-2019 13:56:56 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/view/Cliente/altcliente.view.php on line 5
[25-Jun-2019 13:56:56 UTC] PHP Notice:  Undefined index: administrador in /var/www/html/view/Cliente/altcliente.view.php on line 10
[25-Jun-2019 13:57:15 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/view/Cliente/altcliente.view.php on line 5
[25-Jun-2019 13:57:15 UTC] PHP Notice:  Undefined index: administrador in /var/www/html/view/Cliente/altcliente.view.php on line 10
[25-Jun-2019 13:57:18 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/view/Cliente/acompanharpedido.view.php on line 5
[25-Jun-2019 13:57:22 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/view/Cliente/listapedidosfeitos.php on line 7
[25-Jun-2019 13:57:22 UTC] PHP Notice:  Undefined index: chave in /var/www/html/view/Cliente/listapedidosfeitos.php on line 12
[25-Jun-2019 13:57:22 UTC] PHP Warning:  Use of undefined constant justification - assumed 'justification' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 32
[25-Jun-2019 13:57:22 UTC] PHP Warning:  Use of undefined constant spacing - assumed 'spacing' (this will throw an Error in a future version of PHP) in /var/www/html/view/Cliente/listapedidosfeitos.php on line 32
